date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:56:32	1445/1445	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2006%20May%202022%2017:56:31%20GMT	https://www.movingon.finance/robots.txt		(from )
00:56:32	48961/48961	---MCZ	200	added ('OK')	text/html	etag:W/%22f0e745ca38fae926dd9377790609e643%22	https://www.movingon.finance/	C:/My%20Web%20Sites/movingon/www.movingon.finance/index.html	(from )
00:56:32	137589/137589	---M--	200	added ('OK')	image/png	etag:%220702f813a4a046e7a41e8931f07b08c3%22	https://www.movingon.finance/assets/img/preview.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/img/preview.png	(from https://www.movingon.finance/)
00:56:32	11678/11678	---M--	200	added ('OK')	image/png	etag:%22bbf1c4731a1247807084a0cbd5a02f5e%22	https://www.movingon.finance/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/favicon/apple-touch-icon.png	(from https://www.movingon.finance/)
00:56:33	1805/1805	---M--	200	added ('OK')	image/png	etag:%22173d68f9c9f574eab3481f730c23bf28%22	https://www.movingon.finance/favicon/favicon-32x32.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/favicon/favicon-32x32.png	(from https://www.movingon.finance/)
00:56:33	1073/1073	---M--	200	added ('OK')	image/png	etag:%226281123f7617a47a9f2e94fbaf116fbf%22	https://www.movingon.finance/favicon/favicon-16x16.png	C:/My%20Web%20Sites/movingon/www.movingon.finance/favicon/favicon-16x16.png	(from https://www.movingon.finance/)
00:56:33	442/442	---M--	200	added ('OK')	application/manifest+json	etag:%22f400433a04eabe797044c55614fbb359%22	https://www.movingon.finance/favicon/site.webmanifest	C:/My%20Web%20Sites/movingon/www.movingon.finance/favicon/site.webmanifest	(from https://www.movingon.finance/)
00:56:34	6378/6378	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224415e60e3797e1e2313bf6af4b8a3494%22	https://www.movingon.finance/favicon/safari-pinned-tab.svg	C:/My%20Web%20Sites/movingon/www.movingon.finance/favicon/safari-pinned-tab.svg	(from https://www.movingon.finance/)
00:56:34	15086/15086	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%228fe27053e0402759d7e323c5e19609ae%22	https://www.movingon.finance/favicon/favicon.ico	C:/My%20Web%20Sites/movingon/www.movingon.finance/favicon/favicon.ico	(from https://www.movingon.finance/)
00:56:36	254/254	---M--	200	added ('OK')	application/xml	etag:%22316cbced34b68586d665479137ff0db5%22	https://www.movingon.finance/favicon/browserconfig.xml	C:/My%20Web%20Sites/movingon/www.movingon.finance/favicon/browserconfig.xml	(from https://www.movingon.finance/)
00:56:36	184761/184761	---MCZ	200	added ('OK')	text/css	etag:W/%22eb2bdb27affcdc1ff7ec23f21eb4983c%22	https://www.movingon.finance/assets/bootstrap/css/bootstrap.css	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/bootstrap/css/bootstrap.css	(from https://www.movingon.finance/)
00:56:36	11024/11024	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2006%20May%202022%2017:56:36%20GMT	https://kit.fontawesome.com/7a7c80abc4.js	C:/My%20Web%20Sites/movingon/kit.fontawesome.com/7a7c80abc4.js	(from https://www.movingon.finance/)
00:56:36	6436/6436	---MCZ	200	added ('OK')	text/css	etag:W/%22720a6b9c4f65b0456a3149be625543a3%22	https://www.movingon.finance/assets/css/magnific-popup.css	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/css/magnific-popup.css	(from https://www.movingon.finance/)
00:56:37	3333/3333	---MCZ	200	added ('OK')	text/css	etag:W/%227b6687a02d086d3091e17394c369b19b%22	https://www.movingon.finance/assets/owlcarousel/css/owl.carousel.min.css	C:/My%20Web%20Sites/movingon/www.movingon.finance/assets/owlcarousel/css/owl.carousel.min.css	(from https://www.movingon.finance/)
